SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Morphology	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	SyntaxTree
_	5	0	0	524	526	He	he	PR	PRP	_	6	nsubj	_	0	(TOP(S(S(NP*)
_	5	0	1	527	530	was	be	V	VBD	_	6	cop	_	0	(VP*
_	5	0	2	531	532	a	a	ART	DT	_	6	det	_	0	(NP*
_	5	0	3	533	537	wiry	wiry	ADJ	JJ	_	5	amod	_	0	(ADJP*
_	5	0	4	537	538	,	,	PUNC	,	_	6	P	_	0	*
_	5	0	5	539	548	sun-burnt	sun-burnt	ADJ	JJ	_	6	amod	_	0	*)
_	5	0	6	549	552	man	man	NN	NN	_	1	PRD	_	0	*)
_	5	0	7	553	557	with	with	PP	IN	_	6	NMOD	_	0	(PP*
_	5	0	8	558	559	a	a	ART	DT	_	11	det	_	0	(NP*
_	5	0	9	560	570	straggling	straggle	V	VBG	_	11	amod	_	0	*
_	5	0	10	571	576	black	black	ADJ	JJ	_	11	amod	_	0	*
_	5	0	11	577	582	beard	beard	NN	NN	_	6	prep_with	_	0	*))))
_	5	0	12	582	583	,	,	PUNC	,	_	1	P	_	0	*
_	5	0	13	584	587	and	and	CONJ	CC	_	1	COORD	_	0	*
_	5	0	14	589	592	his	his	PR	PRP$	_	16	poss	_	0	(S(NP*
_	5	0	15	593	599	ragged	ragged	ADJ	JJ	_	16	amod	_	0	*
_	5	0	16	600	608	garments	garment	NN	NNS	_	17	nsubj	_	0	*)
_	5	0	17	609	619	proclaimed	proclaim	V	VBD	_	6	conj_and	_	0	(VP*
_	5	0	18	620	623	him	him	PR	PRP	_	20	nsubj	_	0	(S(NP*)
_	5	0	19	624	625	a	a	ART	DT	_	20	det	_	0	(NP*
_	5	0	20	626	631	nomad	nomad	NN	NN	_	17	OBJ	_	0	*))))
_	5	0	21	631	632	.	.	PUNC	.	_	1	P	_	0	*))
_	5	1	22	633	635	He	he	PR	PRP	_	23	nsubj	_	0	(TOP(S(NP*)
_	5	1	23	636	642	looked	look	V	VBD	_	_	_	_	0	(VP*
_	5	1	24	643	650	smaller	smaller	ADJ	JJR	_	23	dobj	_	0	(NP(ADJP(ADJP*)
_	5	1	25	651	654	and	and	CONJ	CC	_	24	COORD	_	0	*
_	5	1	26	655	661	meaner	mean	ADV	RBR	_	24	conj_and	_	0	(ADJP(ADJP*)
_	5	1	27	663	667	than	than	PP	IN	_	26	prep	_	0	(PP*
_	5	1	28	668	672	ever	ever	ADV	RB	_	27	pcomp	_	0	(ADVP*))
_	5	1	29	673	675	in	in	PP	IN	_	23	ADV	_	0	(PP*
_	5	1	30	676	684	contrast	contrast	NN	NN	_	26	prep_in	_	0	(NP(NP*)
_	5	1	31	685	687	to	to	PP	TO	_	30	NMOD	_	0	(PP*
_	5	1	32	688	691	the	the	ART	DT	_	33	det	_	0	(NP*
_	5	1	33	692	697	giant	giant	NN	NN	_	30	prep_to	_	0	*))))))
_	5	1	34	698	707	Cimmerian	cimmerian	ADJ	JJ	_	24	amod	_	0	*)
_	5	1	35	708	712	with	with	PP	IN	_	34	AMOD	_	0	(PP*
_	5	1	36	713	716	his	his	PR	PRP$	_	38	poss	_	0	(NP(NP*
_	5	1	37	717	722	black	black	ADJ	JJ	_	38	amod	_	0	*
_	5	1	38	723	728	brows	brow	NN	NNS	_	23	prep_with	_	0	*)
_	5	1	39	728	729	,	,	PUNC	,	_	38	P	_	0	*
_	5	1	40	730	735	broad	broad	ADJ	JJ	_	41	amod	_	0	(NP*
_	5	1	41	737	742	chest	chest	NN	NN	_	38	conj_and	_	0	*)
_	5	1	42	742	743	,	,	PUNC	,	_	41	P	_	0	*
_	5	1	43	744	747	and	and	CONJ	CC	_	41	COORD	_	0	*
_	5	1	44	748	756	powerful	powerful	ADJ	JJ	_	45	amod	_	0	(NP*
_	5	1	45	757	762	limbs	limb	NN	NNS	_	38	conj_and	_	0	*))))
_	5	1	46	762	763	.	.	PUNC	.	_	23	P	_	0	*))
_	5	2	47	764	768	They	they	PR	PRP	_	48	nsubj	_	0	(TOP(S(NP*)
_	5	2	48	769	774	stood	stand	V	VBD	_	_	_	_	0	(VP(VP*
_	5	2	49	775	777	in	in	PP	IN	_	48	LOC	_	0	(PP*
_	5	2	50	778	779	a	a	ART	DT	_	51	det	_	0	(NP(NP*
_	5	2	51	780	786	corner	corner	NN	NN	_	48	prep_in	_	0	*)
_	5	2	52	787	789	of	of	PP	IN	_	51	NMOD	_	0	(PP*
_	5	2	53	790	793	the	the	ART	DT	_	54	det	_	0	(NP(NP*
_	5	2	54	794	806	Sword-Makers	sword-maker	NN	NNS	_	56	poss	_	0	*
_	5	2	55	806	807	'	'	O	POS	_	54	SUFFIX	_	0	*)
_	5	2	56	809	814	Bazar	bazar	NP	NNP	_	51	prep_of	_	0	*)))))
_	5	2	57	814	815	,	,	PUNC	,	_	48	P	_	0	*
_	5	2	58	816	819	and	and	CONJ	CC	_	48	COORD	_	0	*
_	5	2	59	820	822	on	on	PP	IN	_	64	LOC	_	0	(VP(PP*
_	5	2	60	823	829	either	either	ART	DT	_	61	det	_	0	(NP(NP*
_	5	2	61	830	834	side	side	NN	NN	_	64	prep_on	_	0	*)
_	5	2	62	835	837	of	of	PP	IN	_	61	NMOD	_	0	(PP*
_	5	2	63	838	842	them	them	PR	PRP	_	61	prep_of	_	0	(NP*))))
