SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	27	31	GODS	gods	NN	NNS	B-NP	_	GODS	_	_	_	0	_	_	_	_
_	0	0	1	32	34	OF	of	PP	IN	B-PP	_	OF	_	_	_	0	_	_	_	_
_	0	0	2	35	38	THE	the	ART	DT	B-NP	_	THE	_	_	_	0	_	_	_	_
_	0	0	3	39	44	NORTH	north	NP	NNP	I-NP	_	NORTH	_	_	_	0	_	_	_	_
_	1	1	4	74	76	By	by	PP	IN	B-PP	_	By	_	_	_	0	_	_	_	_
_	1	1	5	77	83	ROBERT	robert	NP	NNP	B-NP	_	ROBERT	_	_	_	0	_	_	_	_
_	1	1	6	84	86	E.	e.	NP	NNP	I-NP	_	E.	_	_	_	0	_	_	_	_
_	1	1	7	87	93	HOWARD	howard	NP	NNP	I-NP	_	HOWARD	_	_	_	0	_	_	_	_
_	2	2	8	103	104	[	[	CONJ	CC	_	_	[	_	_	_	0	_	_	_	_
_	2	2	9	104	115	Transcriber	transcriber	NP	NNP	B-NP	_	Tran-scriber	_	_	_	0	_	_	_	_
_	2	2	10	115	117	's	's	O	POS	B-NP	_	's	_	_	_	0	_	_	_	_
_	2	2	11	118	122	Note	note	NP	NNP	I-NP	_	Note	_	_	_	0	_	_	_	_
_	2	2	12	122	123	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	2	2	13	124	134	Originally	originally	ADV	RB	B-VP	_	Orig-i-nal-ly	_	_	_	0	_	_	_	_
_	2	2	14	135	144	published	publish	V	VBN	I-VP	_	pub-lished	_	_	_	0	_	_	_	_
_	2	2	15	145	147	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	2	16	148	153	March	march	NP	NNP	B-NP	_	March	_	_	_	0	_	_	_	_
_	2	2	17	154	158	1934	1934	CARD	CD	I-NP	_	1934	_	_	_	0	_	_	_	_
_	2	2	18	159	161	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	2	19	162	163	"	"	NN	NN	B-NP	_	"	_	_	_	0	_	_	_	_
_	2	2	20	163	166	The	the	ART	DT	B-NP	_	The	_	_	_	1	_	_	_	_
_	2	2	21	172	179	Fantasy	fantasy	NP	NNP	I-NP	_	Fan-ta-sy	_	_	_	1	_	_	_	_
_	2	2	22	180	183	Fan	fan	NP	NNP	I-NP	_	Fan	_	_	_	1	_	_	_	_
_	2	2	23	183	184	"	"	NP	NNP	I-NP	_	"	_	_	_	0	_	_	_	_
_	2	2	24	184	185	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	2	3	25	186	190	This	this	ART	DT	B-NP	_	This	_	_	_	0	_	_	_	_
_	2	3	26	191	196	etext	etext	NN	NN	I-NP	_	etext	_	_	_	0	_	_	_	_
_	2	3	27	197	200	was	be	V	VBD	B-VP	_	was	_	_	_	0	_	_	_	_
_	2	3	28	201	209	prepared	prepare	V	VBN	I-VP	_	pre-pared	_	_	_	0	_	_	_	_
_	2	3	29	210	214	from	from	PP	IN	B-PP	_	from	_	_	_	0	_	_	_	_
_	2	3	30	215	218	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	2	3	31	219	226	reprint	reprint	NN	NN	I-NP	_	reprint	_	_	_	0	_	_	_	_
_	2	3	32	227	229	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	3	33	230	239	Fantastic	fantastic	NP	NNP	B-NP	_	Fan-tas-tic	_	_	_	0	_	_	_	_
_	2	3	34	245	253	Universe	universe	NP	NNP	I-NP	_	Uni-verse	_	_	_	0	_	_	_	_
_	2	3	35	254	262	December	december	NP	NNP	I-NP	_	De-cem-ber	_	_	_	0	_	_	_	_
_	2	3	36	263	267	1956	1956	CARD	CD	I-NP	_	1956	_	_	_	0	_	_	_	_
_	2	3	37	267	268	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	2	4	38	269	278	Extensive	extensive	ADJ	JJ	B-NP	_	Ex-ten-sive	_	_	_	0	_	_	_	_
_	2	4	39	279	287	research	research	NN	NN	I-NP	_	re-search	_	_	_	0	_	_	_	_
_	2	4	40	288	291	did	do	V	VBD	B-VP	_	did	_	_	_	0	_	_	_	_
_	2	4	41	292	295	not	not	ADV	RB	I-VP	_	not	_	_	_	0	_	_	_	_
_	2	4	42	296	303	uncover	uncover	V	VB	I-VP	_	un-cov-er	_	_	_	0	_	_	_	_
_	2	4	43	304	307	any	any	ART	DT	B-NP	_	any	_	_	_	0	_	_	_	_
_	2	4	44	313	321	evidence	evidence	NN	NN	I-NP	_	ev-i-dence	_	_	_	0	_	_	_	_
_	2	4	45	322	326	that	that	PP	IN	B-SBAR	_	that	_	_	_	0	_	_	_	_
