SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	2	7	Title	title	NN	NN	B-NP	_	Ti-tle	_	_	_	0	_	_	_	_
_	0	0	1	7	8	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	0	0	2	9	11	At	at	PP	IN	B-PP	_	At	_	_	_	0	_	_	_	_
_	0	0	3	12	15	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	0	0	4	16	19	End	end	NN	NN	I-NP	_	End	_	_	_	0	_	_	_	_
_	0	0	5	20	22	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	0	0	6	23	26	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	0	0	7	27	34	Passage	passage	NN	NN	I-NP	_	Pas-sage	_	_	_	0	_	_	_	_
_	0	0	8	36	42	Author	author	NN	NN	I-NP	_	Au-thor	_	_	_	0	_	_	_	_
_	0	0	9	42	43	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	0	0	10	44	51	Rudyard	rudyard	NP	NNP	B-NP	_	Rud-yard	_	_	_	0	_	_	_	_
_	0	0	11	52	59	Kipling	kipling	NP	NNP	I-NP	_	Kipling	_	_	_	0	_	_	_	_
_	1	1	12	67	70	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	1	1	13	71	74	sky	sky	NN	NN	I-NP	_	sky	_	_	_	0	_	_	_	_
_	1	1	14	75	77	is	be	V	VBZ	B-VP	_	is	_	_	_	0	_	_	_	_
_	1	1	15	78	82	lead	lead	NN	NN	B-NP	_	lead	_	_	_	0	_	_	_	_
_	1	1	16	83	86	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	1	1	17	87	90	our	our	PR	PRP$	B-NP	_	our	_	_	_	0	_	_	_	_
_	1	1	18	91	96	faces	face	NN	NNS	I-NP	_	faces	_	_	_	0	_	_	_	_
_	1	1	19	97	100	are	be	V	VBP	B-VP	_	are	_	_	_	0	_	_	_	_
_	1	1	20	101	104	red	red	ADJ	JJ	B-ADJP	_	red	_	_	_	0	_	_	_	_
_	1	1	21	104	105	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	1	1	22	107	110	And	and	CONJ	CC	_	_	And	_	_	_	0	_	_	_	_
_	1	1	23	111	114	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	1	1	24	115	120	gates	gates	NN	NNS	I-NP	_	gates	_	_	_	0	_	_	_	_
_	1	1	25	121	123	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
