SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	3	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	0	0	1	34	41	Shunned	shun	NP	NNP	I-NP	_	Shunned	_	_	_	0	_	_	_	_
_	0	0	2	42	47	House	house	NP	NNP	I-NP	_	House	_	_	_	0	_	_	_	_
_	1	1	3	75	77	By	by	PP	IN	B-PP	_	By	_	_	_	0	_	_	_	_
_	1	1	4	78	80	H.	h.	NP	NNP	B-NP	_	H.	_	_	_	0	_	_	_	_
_	1	1	5	81	83	P.	p.	NP	NNP	I-NP	_	P.	_	_	_	0	_	_	_	_
_	1	1	6	84	93	LOVECRAFT	lovecraft	NP	NNP	I-NP	_	LOVE-CRAFT	_	_	_	0	_	_	_	_
_	2	2	7	100	102	_A	_a	PR	PRP$	B-NP	_	_A	_	_	_	0	_	_	_	_
_	2	2	8	103	113	posthumous	posthumous	ADJ	JJ	I-NP	_	posthu-mous	_	_	_	0	_	_	_	_
_	2	2	9	114	119	story	story	NN	NN	I-NP	_	sto-ry	_	_	_	0	_	_	_	_
_	2	2	10	120	122	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	2	2	11	123	130	immense	immense	ADJ	JJ	B-NP	_	im-mense	_	_	_	0	_	_	_	_
_	2	2	12	131	136	power	power	NN	NN	I-NP	_	pow-er	_	_	_	0	_	_	_	_
_	2	2	13	136	137	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	2	2	14	138	145	written	write	V	VBN	B-VP	_	writ-ten	_	_	_	0	_	_	_	_
_	2	2	15	146	148	by	by	PP	IN	B-PP	_	by	_	_	_	0	_	_	_	_
_	2	2	16	149	150	a	a	ART	DT	B-NP	_	a	_	_	_	0	_	_	_	_
_	2	2	17	151	157	master	master	NN	NN	I-NP	_	mas-ter	_	_	_	0	_	_	_	_
_	2	2	18	158	160	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	2	2	19	161	166	weird	weird	ADJ	JJ	B-NP	_	weird	_	_	_	0	_	_	_	_
_	2	2	20	171	181	fiction--a	fiction--a	ADJ	JJ	I-NP	_	fic-tion-​-​a	_	_	_	0	_	_	_	_
_	2	2	21	182	186	tale	tale	NN	NN	I-NP	_	tale	_	_	_	0	_	_	_	_
_	2	2	22	187	189	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	2	2	23	190	191	a	a	ART	DT	B-NP	_	a	_	_	_	0	_	_	_	_
_	2	2	24	192	201	revolting	revolt	V	VBG	I-NP	_	re-volt-ing	_	_	_	0	_	_	_	_
_	2	2	25	202	208	horror	horror	NN	NN	I-NP	_	hor-ror	_	_	_	0	_	_	_	_
_	2	2	26	209	211	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	2	27	212	215	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	2	2	28	216	222	cellar	cellar	NN	NN	I-NP	_	cel-lar	_	_	_	0	_	_	_	_
_	2	2	29	223	225	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	2	2	30	226	228	an	an	ART	DT	B-NP	_	an	_	_	_	0	_	_	_	_
_	2	2	31	229	232	old	old	ADJ	JJ	I-NP	_	old	_	_	_	0	_	_	_	_
_	2	2	32	257	262	house	house	NN	NN	I-NP	_	house	_	_	_	0	_	_	_	_
_	2	2	33	263	265	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	2	34	266	269	New	new	NP	NNP	B-NP	_	New	_	_	B-LOCATION	0	_	_	_	_
_	2	2	35	270	277	England	england	NP	NNP	I-NP	_	Eng-land	_	_	I-LOCATION	0	_	_	_	_
_	2	2	36	277	278	_	_	NP	NNP	I-NP	_	_	_	_	_	0	_	_	_	_
_	3	3	37	288	294	Howard	howard	NP	NNP	B-NP	_	Howard	_	_	B-PERSON	0	_	_	_	_
_	3	3	38	295	303	Phillips	phillips	NP	NNP	I-NP	_	Phillips	_	_	I-PERSON	0	_	_	_	_
_	3	3	39	304	313	Lovecraft	lovecraft	NP	NNP	I-NP	_	Love-craft	_	_	I-PERSON	0	_	_	_	_
_	3	3	40	314	318	died	die	V	VBD	B-VP	_	died	_	_	_	0	_	_	_	_
_	3	3	41	319	323	last	last	ADJ	JJ	B-NP	_	last	_	_	_	0	_	_	_	_
_	3	3	42	324	329	March	march	NP	NNP	I-NP	_	March	_	_	_	0	_	_	_	_
_	3	3	43	329	330	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	3	44	331	333	at	at	PP	IN	B-PP	_	at	_	_	_	0	_	_	_	_
_	3	3	45	334	337	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	3	46	338	344	height	height	NN	NN	I-NP	_	height	_	_	_	0	_	_	_	_
_	3	3	47	345	347	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	3	48	348	351	his	his	PR	PRP$	B-NP	_	his	_	_	_	0	_	_	_	_
_	3	3	49	357	363	career	career	NN	NN	I-NP	_	ca-reer	_	_	_	0	_	_	_	_
_	3	3	50	363	364	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	4	51	365	371	Though	though	PP	IN	B-PP	_	Though	_	_	_	0	_	_	_	_
_	3	4	52	372	376	only	only	ADV	RB	B-NP	_	on-ly	_	_	_	0	_	_	_	_
_	3	4	53	377	386	forty-six	forty-six	ADJ	JJ	I-NP	_	forty-​six	_	_	_	0	_	_	_	_
_	3	4	54	387	392	years	years	NN	NNS	I-NP	_	years	_	_	_	0	_	_	_	_
_	3	4	55	393	395	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	4	56	396	399	age	age	NN	NN	B-NP	_	age	_	_	_	0	_	_	_	_
_	3	4	57	399	400	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	58	401	403	he	he	PR	PRP	B-NP	_	he	_	_	_	0	_	_	_	_
_	3	4	59	404	407	had	have	V	VBD	B-VP	_	had	_	_	_	0	_	_	_	_
_	3	4	60	408	413	built	build	V	VBN	I-VP	_	built	_	_	_	0	_	_	_	_
_	3	4	61	414	416	up	up	PP	RP	B-PRT	_	up	_	_	_	0	_	_	_	_
_	3	4	62	417	419	an	an	ART	DT	B-NP	_	an	_	_	_	0	_	_	_	_
_	3	4	63	425	438	international	international	ADJ	JJ	I-NP	_	in-ter-na-tion-al	_	_	_	0	_	_	_	_
_	3	4	64	439	449	reputation	reputation	NN	NN	I-NP	_	rep-u-ta-tion	_	_	_	0	_	_	_	_
_	3	4	65	450	452	by	by	PP	IN	B-PP	_	by	_	_	_	0	_	_	_	_
_	3	4	66	453	456	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	4	67	457	465	artistry	artistry	NN	NN	I-NP	_	artistry	_	_	_	0	_	_	_	_
_	3	4	68	466	469	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	4	69	470	480	impeccable	impeccable	ADJ	JJ	B-NP	_	im-pec-ca-ble	_	_	_	0	_	_	_	_
_	3	4	70	481	489	literary	literary	ADJ	JJ	I-NP	_	lit-er-ary	_	_	_	0	_	_	_	_
_	3	4	71	495	508	craftsmanship	craftsmanship	NN	NN	I-NP	_	crafts-man-ship	_	_	_	0	_	_	_	_
_	3	4	72	509	511	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	4	73	512	515	his	his	PR	PRP$	B-NP	_	his	_	_	_	0	_	_	_	_
_	3	4	74	516	521	weird	weird	ADJ	JJ	I-NP	_	weird	_	_	_	0	_	_	_	_
_	3	4	75	522	527	tales	tale	NN	NNS	I-NP	_	tales	_	_	_	0	_	_	_	_
_	3	4	76	527	528	;	;	PUNC	:	_	_	;	_	_	_	0	_	_	_	_
_	3	4	77	529	532	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	4	78	533	535	he	he	PR	PRP	B-NP	_	he	_	_	_	0	_	_	_	_
_	3	4	79	536	539	was	be	V	VBD	B-VP	_	was	_	_	_	0	_	_	_	_
_	3	4	80	540	548	regarded	regard	V	VBN	I-VP	_	re-gard-ed	_	_	_	0	_	_	_	_
_	3	4	81	549	551	on	on	PP	IN	B-PP	_	on	_	_	_	0	_	_	_	_
_	3	4	82	552	556	both	both	ART	DT	B-NP	_	both	_	_	_	0	_	_	_	_
_	3	4	83	557	562	sides	side	NN	NNS	I-NP	_	sides	_	_	_	0	_	_	_	_
_	3	4	84	568	570	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	4	85	571	574	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	4	86	575	583	Atlantic	atlantic	NP	NNP	I-NP	_	At-lantic	_	_	B-LOCATION	0	_	_	_	_
_	3	4	87	584	586	as	as	PP	IN	B-PP	_	as	_	_	_	0	_	_	_	_
_	3	4	88	587	595	probably	probably	ADV	RB	B-NP	_	prob-a-bly	_	_	_	0	_	_	_	_
_	3	4	89	596	599	the	the	ART	DT	I-NP	_	the	_	_	_	0	_	_	_	_
_	3	4	90	600	608	greatest	greatest	ADJ	JJS	I-NP	_	great-est	_	_	_	0	_	_	_	_
_	3	4	91	609	621	contemporary	contemporary	ADJ	JJ	I-NP	_	con-tem-po-rary	_	_	_	0	_	_	_	_
_	3	4	92	622	628	master	master	NN	NN	I-NP	_	mas-ter	_	_	_	0	_	_	_	_
_	3	4	93	629	631	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	4	94	637	642	weird	weird	ADJ	JJ	B-NP	_	weird	_	_	_	0	_	_	_	_
_	3	4	95	643	650	fiction	fiction	NN	NN	I-NP	_	fic-tion	_	_	_	0	_	_	_	_
_	3	4	96	650	651	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	5	97	652	655	His	his	PR	PRP$	B-NP	_	His	_	_	_	0	_	_	_	_
_	3	5	98	656	663	ability	ability	NN	NN	I-NP	_	abil-i-ty	_	_	_	0	_	_	_	_
_	3	5	99	664	666	to	to	PP	TO	B-VP	_	to	_	_	_	0	_	_	_	_
_	3	5	100	667	673	create	create	V	VB	I-VP	_	cre-ate	_	_	_	0	_	_	_	_
_	3	5	101	674	677	and	and	CONJ	CC	I-VP	_	and	_	_	_	0	_	_	_	_
_	3	5	102	678	685	sustain	sustain	V	VB	I-VP	_	sus-tain	_	_	_	0	_	_	_	_
_	3	5	103	686	687	a	a	ART	DT	B-NP	_	a	_	_	_	0	_	_	_	_
_	3	5	104	688	692	mood	mood	NN	NN	I-NP	_	mood	_	_	_	0	_	_	_	_
_	3	5	105	693	695	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	5	106	696	704	brooding	broode	V	VBG	B-VP	_	brood-ing	_	_	_	0	_	_	_	_
_	3	5	107	710	715	dread	dread	NN	NN	B-NP	_	dread	_	_	_	0	_	_	_	_
_	3	5	108	716	719	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	5	109	720	729	unnamable	unnamable	ADJ	JJ	B-NP	_	un-nam-able	_	_	_	0	_	_	_	_
_	3	5	110	730	736	horror	horror	NN	NN	I-NP	_	hor-ror	_	_	_	0	_	_	_	_
_	3	5	111	737	739	is	be	V	VBZ	B-VP	_	is	_	_	_	0	_	_	_	_
_	3	5	112	740	747	nowhere	nowhere	ADV	RB	B-ADVP	_	nowhere	_	_	_	0	_	_	_	_
_	3	5	113	748	754	better	better	ADJ	JJR	B-ADJP	_	bet-ter	_	_	_	0	_	_	_	_
_	3	5	114	755	760	shown	show	V	VBN	I-ADJP	_	shown	_	_	_	0	_	_	_	_
_	3	5	115	761	765	than	than	PP	IN	B-PP	_	than	_	_	_	0	_	_	_	_
_	3	5	116	766	768	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	3	5	117	769	772	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	5	118	778	788	posthumous	posthumous	ADJ	JJ	I-NP	_	posthu-mous	_	_	_	0	_	_	_	_
_	3	5	119	789	793	tale	tale	NN	NN	I-NP	_	tale	_	_	_	0	_	_	_	_
_	3	5	120	794	803	presented	present	V	VBN	B-VP	_	pre-sent-ed	_	_	_	0	_	_	_	_
_	3	5	121	804	808	here	here	ADV	RB	B-ADVP	_	here	_	_	_	0	_	_	_	_
_	3	5	122	808	809	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
