SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	4	10	EUREKA	eureka	NP	NNP	B-NP	_	EU-RE-KA	_	_	_	0	_	_	_	_
_	0	0	1	10	11	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	0	0	2	43	44	A	a	ART	DT	B-NP	_	A	_	_	_	0	_	_	_	_
_	0	0	3	45	50	PROSE	prose	NP	NNP	I-NP	_	PROSE	_	_	_	0	_	_	_	_
_	0	0	4	51	56	POEM.	poem.	NP	NNP	I-NP	_	PO-EM.	_	_	_	0	_	_	_	_
_	1	1	5	95	97	BY	by	PP	IN	_	_	BY	_	_	_	0	_	_	_	_
_	2	2	6	131	136	EDGAR	edgar	NP	NNP	B-NP	_	EDGAR	_	_	_	0	_	_	_	_
_	2	2	7	137	139	A.	a.	NP	NNP	I-NP	_	A.	_	_	_	0	_	_	_	_
_	2	2	8	140	144	POE.	poe.	NP	NNP	I-NP	_	POE.	_	_	_	0	_	_	_	_
_	3	3	9	180	188	NEW-YORK	new-york	NP	NNP	B-NP	_	NEW-​YORK	_	_	_	0	_	_	_	_
_	3	3	10	188	189	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	3	3	11	220	224	GEO.	geo.	NP	NNP	_	_	GEO.	_	_	_	0	_	_	_	_
_	3	4	12	225	227	P.	p.	NP	NNP	B-NP	_	P.	_	_	B-PERSON	0	_	_	_	_
_	3	4	13	228	234	PUTNAM	putnam	NP	NNP	I-NP	_	PUT-NAM	_	_	I-PERSON	0	_	_	_	_
_	3	4	14	234	235	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	15	257	259	OF	of	PP	IN	B-PP	_	OF	_	_	_	0	_	_	_	_
_	3	4	16	260	264	LATE	late	ADJ	JJ	B-NP	_	LATE	_	_	_	0	_	_	_	_
_	3	4	17	265	269	FIRM	firm	NN	NN	I-NP	_	FIRM	_	_	_	0	_	_	_	_
