SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	1	﻿	﻿	PUNC	SYM	_	_	﻿	_	_	_	0	_	_	_	_
_	0	0	1	22	25	THE	the	ART	DT	B-NP	_	THE	_	_	_	0	_	_	_	_
_	0	0	2	26	31	DEVIL	devil	NN	NN	I-NP	_	DEV-IL	_	_	_	0	_	_	_	_
_	0	0	3	32	34	IN	in	PP	IN	B-PP	_	IN	_	_	_	0	_	_	_	_
_	0	0	4	35	39	IRON	iron	NP	NNP	B-NP	_	IRON	_	_	_	0	_	_	_	_
_	1	1	5	63	65	By	by	PP	IN	B-PP	_	By	_	_	_	0	_	_	_	_
_	1	1	6	66	72	Robert	robert	NP	NNP	B-NP	_	Robert	_	_	_	0	_	_	_	_
_	1	1	7	73	75	E.	e.	NP	NNP	I-NP	_	E.	_	_	_	0	_	_	_	_
_	1	1	8	76	82	Howard	howard	NP	NNP	I-NP	_	Howard	_	_	_	0	_	_	_	_
_	2	2	9	90	91	[	[	CONJ	CC	_	_	[	_	_	_	0	_	_	_	_
_	2	2	10	91	102	Transcriber	transcriber	NP	NNP	B-NP	_	Tran-scriber	_	_	_	0	_	_	_	_
_	2	2	11	102	104	's	's	O	POS	B-NP	_	's	_	_	_	0	_	_	_	_
_	2	2	12	105	109	Note	note	NP	NNP	I-NP	_	Note	_	_	_	0	_	_	_	_
_	2	2	13	109	110	:	:	PUNC	:	_	_	:	_	_	_	0	_	_	_	_
_	2	2	14	111	115	This	this	ART	DT	B-NP	_	This	_	_	_	0	_	_	_	_
_	2	2	15	116	121	etext	etext	NN	NN	I-NP	_	etext	_	_	_	0	_	_	_	_
_	2	2	16	122	125	was	be	V	VBD	B-VP	_	was	_	_	_	0	_	_	_	_
_	2	2	17	126	131	first	first	ADV	RB	I-VP	_	first	_	_	_	0	_	_	_	_
_	2	2	18	132	141	published	publish	V	VBN	I-VP	_	pub-lished	_	_	_	0	_	_	_	_
_	2	2	19	142	144	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	2	2	20	145	150	Weird	weird	NP	NNP	B-NP	_	Weird	_	_	_	0	_	_	_	_
_	2	2	21	151	156	Tales	tales	NP	NNP	I-NP	_	Tales	_	_	_	0	_	_	_	_
_	2	2	22	162	168	August	august	NP	NNP	I-NP	_	Au-gust	_	_	_	0	_	_	_	_
_	2	2	23	169	173	1934	1934	CARD	CD	I-NP	_	1934	_	_	_	0	_	_	_	_
_	2	2	24	173	174	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	2	3	25	175	184	Extensive	extensive	ADJ	JJ	B-NP	_	Ex-ten-sive	_	_	_	0	_	_	_	_
_	2	3	26	185	193	research	research	NN	NN	I-NP	_	re-search	_	_	_	0	_	_	_	_
_	2	3	27	194	197	did	do	V	VBD	B-VP	_	did	_	_	_	0	_	_	_	_
_	2	3	28	198	201	not	not	ADV	RB	I-VP	_	not	_	_	_	0	_	_	_	_
_	2	3	29	202	209	uncover	uncover	V	VB	I-VP	_	un-cov-er	_	_	_	0	_	_	_	_
_	2	3	30	210	213	any	any	ART	DT	B-NP	_	any	_	_	_	0	_	_	_	_
_	2	3	31	214	222	evidence	evidence	NN	NN	I-NP	_	ev-i-dence	_	_	_	0	_	_	_	_
_	2	3	32	223	227	that	that	PP	IN	B-SBAR	_	that	_	_	_	0	_	_	_	_
_	2	3	33	233	236	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
