SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Morphology	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	SyntaxTree
_	1	0	0	328	331	And	and	CONJ	CC	_	6	cc	_	0	(TOP(S*
_	1	0	1	332	335	the	the	ART	DT	_	2	det	_	0	(S(NP(NP*
_	1	0	2	336	340	soul	soul	NN	NN	_	6	nsubjpass	_	0	*)
_	1	0	3	341	343	of	of	PP	IN	_	2	NMOD	_	0	(PP*
_	1	0	4	344	347	man	man	NN	NN	_	2	prep_of	_	0	(NP*)))
_	1	0	5	348	350	is	be	V	VBZ	_	6	auxpass	_	0	(VP*
_	1	0	6	351	357	turned	turn	V	VBN	_	5	VC	_	0	(VP*
_	1	0	7	358	362	from	from	PP	IN	_	6	ADV	_	0	(PP*
_	1	0	8	363	366	his	his	PR	PRP$	_	9	poss	_	0	(NP(NP(NP*
_	1	0	9	367	371	meat	meat	NN	NN	_	6	prep_from	_	0	*)
_	1	0	10	371	372	,	,	PUNC	,	_	6	P	_	0	*
_	1	0	11	374	380	Turned	turn	V	VBN	_	9	vmod	_	0	(VP*
_	1	0	12	381	385	from	from	PP	IN	_	11	ADV	_	0	(PP*
_	1	0	13	386	389	the	the	ART	DT	_	14	det	_	0	(NP(NP*
_	1	0	14	390	397	trifles	trifle	NN	NNS	_	11	prep_from	_	0	*)
_	1	0	15	398	401	for	for	PP	IN	_	19	ADV	_	0	(SBAR(WHPP*
_	1	0	16	402	407	which	which	ART	WDT	_	19	prep_for	_	0	(WHNP*))
_	1	0	17	408	410	he	he	PR	PRP	_	19	nsubj	_	0	(S(NP*)
_	1	0	18	411	414	has	have	V	VBZ	_	19	aux	_	0	(VP*
_	1	0	19	415	422	striven	strive	V	VBN	_	14	rcmod	_	0	(VP*
_	1	0	20	424	428	Sick	sick	NP	NNP	_	19	dobj	_	0	(NP*)
_	1	0	21	429	431	in	in	PP	IN	_	19	LOC	_	0	(PP*
_	1	0	22	432	435	his	his	PR	PRP$	_	23	poss	_	0	(NP*
_	1	0	23	436	440	body	body	NN	NN	_	19	prep_in	_	0	*)))))))))
_	1	0	24	440	441	,	,	PUNC	,	_	14	P	_	0	*)
_	1	0	25	442	445	and	and	CONJ	CC	_	14	COORD	_	0	*
_	1	0	26	446	451	heavy	heavy	ADJ	JJ	_	27	amod	_	0	(NP*
_	1	0	27	452	459	hearted	heart	NN	NN	_	9	conj_and	_	0	*))))))
_	1	0	28	459	460	,	,	PUNC	,	_	5	P	_	0	*
_	1	0	29	462	465	And	and	CONJ	CC	_	32	cc	_	0	(S*
_	1	0	30	466	469	his	his	PR	PRP$	_	31	poss	_	0	(NP*
_	1	0	31	470	474	soul	soul	NN	NN	_	32	nsubj	_	0	*)
_	1	0	32	475	480	flies	fly	V	VBZ	_	6	parataxis	_	0	(VP*
