SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Morphology	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	SyntaxTree
_	2	0	0	161	163	It	it	PR	PRP	_	1	nsubj	_	0	(TOP(S(NP*)
_	2	0	1	164	166	is	be	V	VBZ	_	_	_	_	0	(VP*
_	2	0	2	167	177	altogether	altogether	ADV	RB	_	1	ADV	_	0	(ADVP*)
_	2	0	3	178	185	against	against	PP	IN	_	1	PRD	_	0	(PP*
_	2	0	4	186	188	my	my	PR	PRP$	_	5	poss	_	0	(NP*
_	2	0	5	189	193	will	will	NN	NN	_	1	prep_against	_	0	*))
_	2	0	6	194	198	that	that	PP	IN	_	8	mark	_	0	(SBAR*
_	2	0	7	199	200	I	i	PR	PRP	_	8	nsubj	_	0	(S(NP*)
_	2	0	8	201	205	tell	tell	V	VBP	_	1	ccomp	_	0	(VP*
_	2	0	9	206	208	my	my	PR	PRP$	_	10	poss	_	0	(NP*
_	2	0	10	209	216	reasons	reason	NN	NNS	_	8	dobj	_	0	*)
_	2	0	11	217	220	for	for	PP	IN	_	10	NMOD	_	0	(PP*
_	2	0	12	221	229	opposing	oppose	V	VBG	_	11	PMOD	_	0	(S(VP*
_	2	0	13	230	234	this	this	ART	DT	_	15	det	_	0	(NP(NP*
_	2	0	14	235	247	contemplated	contemplate	V	VBN	_	15	amod	_	0	*
_	2	0	15	248	256	invasion	invasion	NN	NN	_	12	dobj	_	0	*)
_	2	0	16	257	259	of	of	PP	IN	_	15	NMOD	_	0	(PP*
_	2	0	17	260	263	the	the	ART	DT	_	18	det	_	0	(NP(NP(NP*
_	2	0	18	264	278	antarctic—with	antarctic—with	NN	NN	_	15	prep_of	_	0	*)
_	2	0	19	279	282	its	its	PR	PRP$	_	22	poss	_	0	(NP*
_	2	0	20	283	287	vast	vast	ADJ	JJ	_	22	amod	_	0	*
_	2	0	21	288	294	fossil	fossil	NN	NN	_	22	nn	_	0	*
_	2	0	22	295	299	hunt	hunt	NN	NN	_	18	dep	_	0	*))
_	2	0	23	300	303	and	and	CONJ	CC	_	22	COORD	_	0	*
_	2	0	24	304	307	its	its	PR	PRP$	_	26	poss	_	0	(NP(NP*
_	2	0	25	308	317	wholesale	wholesale	ADJ	JJ	_	26	amod	_	0	*
_	2	0	26	318	324	boring	boring	NN	NN	_	18	conj_and	_	0	*
_	2	0	27	325	328	and	and	CONJ	CC	_	26	COORD	_	0	*
_	2	0	28	329	336	melting	melting	NN	NN	_	26	conj_and	_	0	*)
_	2	0	29	337	339	of	of	PP	IN	_	26	NMOD	_	0	(PP*
_	2	0	30	340	343	the	the	ART	DT	_	33	det	_	0	(NP*
_	2	0	31	344	351	ancient	ancient	ADJ	JJ	_	33	amod	_	0	*
_	2	0	32	352	355	ice	ice	NN	NN	_	33	nn	_	0	*
_	2	0	33	356	360	caps	cap	NN	NNS	_	26	prep_of	_	0	*)))))))))))))
_	2	0	34	360	361	.	.	PUNC	.	_	1	P	_	0	*))
_	2	1	35	362	365	And	and	CONJ	CC	_	40	cc	_	0	(TOP(S*
