SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	3	THE	the	ART	DT	B-NP	_	THE	_	_	_	0	_	_	_	_
_	0	0	1	4	13	PURLOINED	purloined	NN	NN	I-NP	_	PUR-LOINED	_	_	_	0	_	_	_	_
_	0	0	2	14	20	LETTER	letter	NN	NN	I-NP	_	LET-TER	_	_	_	0	_	_	_	_
_	1	1	3	22	27	EDGAR	edgar	NP	NNP	B-NP	_	EDGAR	_	_	_	0	_	_	_	_
_	1	1	4	28	33	ALLAN	allan	NP	NNP	I-NP	_	AL-LAN	_	_	_	0	_	_	_	_
_	1	1	5	34	37	POE	poe	NP	NNP	I-NP	_	POE	_	_	_	0	_	_	_	_
_	2	2	6	44	47	Nil	nil	NP	NNP	B-NP	_	Nil	_	_	_	0	_	_	_	_
_	2	2	7	48	57	sapientiæ	sapientiæ	NP	NNP	I-NP	_	sapi-en-tiæ	_	_	_	0	_	_	_	_
_	2	2	8	58	66	odiosius	odiosius	NP	NNP	I-NP	_	odio-sius	_	_	_	0	_	_	_	_
_	2	2	9	67	74	acumine	acumine	NN	NN	I-NP	_	acumine	_	_	_	0	_	_	_	_
_	2	2	10	75	89	nimio.--SENECA	nimio.--seneca	NN	NN	I-NP	_	nimio.-​-​SENECA	_	_	_	0	_	_	_	_
_	2	2	11	89	90	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	3	12	93	95	At	at	PP	IN	B-PP	_	At	_	_	_	0	_	_	_	_
_	3	3	13	96	101	Paris	paris	NP	NNP	B-NP	_	Paris	_	_	B-LOCATION	0	_	_	_	_
_	3	3	14	101	102	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	3	15	103	107	just	just	ADV	RB	B-ADVP	_	just	_	_	_	0	_	_	_	_
_	3	3	16	108	113	after	after	PP	IN	B-PP	_	af-ter	_	_	_	0	_	_	_	_
_	3	3	17	114	118	dark	dark	ADJ	JJ	B-NP	_	dark	_	_	_	0	_	_	_	_
_	3	3	18	119	122	one	one	CARD	CD	I-NP	_	one	_	_	_	0	_	_	_	_
_	3	3	19	123	128	gusty	gusty	NN	NN	I-NP	_	gusty	_	_	_	0	_	_	_	_
_	3	3	20	129	136	evening	evening	NN	NN	I-NP	_	evening	_	_	_	0	_	_	_	_
_	3	3	21	137	139	in	in	PP	IN	B-PP	_	in	_	_	_	0	_	_	_	_
_	3	3	22	140	143	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	3	23	144	150	autumn	autumn	NN	NN	I-NP	_	au-tumn	_	_	_	0	_	_	_	_
_	3	3	24	151	153	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	3	25	154	159	18--,	18--,	CARD	CD	B-NP	_	18-​-​,	_	_	_	0	_	_	_	_
_	3	3	26	160	161	I	i	PR	PRP	B-NP	_	I	_	_	_	0	_	_	_	_
_	3	3	27	162	165	was	be	V	VBD	B-VP	_	was	_	_	_	0	_	_	_	_
_	3	3	28	166	174	enjoying	enjoy	V	VBG	I-VP	_	en-joy-ing	_	_	_	0	_	_	_	_
_	3	3	29	175	178	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	3	30	179	186	twofold	twofold	ADJ	JJ	I-NP	_	twofold	_	_	_	0	_	_	_	_
_	3	3	31	187	193	luxury	luxury	NN	NN	I-NP	_	lux-u-ry	_	_	_	0	_	_	_	_
_	3	3	32	194	196	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	3	33	197	207	meditation	meditation	NN	NN	B-NP	_	med-i-ta-tion	_	_	_	0	_	_	_	_
_	3	3	34	208	211	and	and	CONJ	CC	I-NP	_	and	_	_	_	0	_	_	_	_
