SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	3	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	0	0	1	4	8	Cask	cask	NP	NNP	I-NP	_	Cask	_	_	_	0	_	_	_	_
_	0	0	2	9	11	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	0	0	3	12	23	Amontillado	amontillado	NP	NNP	B-NP	_	Amon-til-la-do	_	_	_	0	_	_	_	_
_	1	1	4	29	31	by	by	PP	IN	_	_	by	_	_	_	0	_	_	_	_
_	2	2	5	35	40	Edgar	edgar	NP	NNP	B-NP	_	Edgar	_	_	_	0	_	_	_	_
_	2	2	6	41	46	Allan	allan	NP	NNP	I-NP	_	Al-lan	_	_	_	0	_	_	_	_
_	2	2	7	47	50	Poe	poe	NP	NNP	I-NP	_	Poe	_	_	_	0	_	_	_	_
_	3	3	8	58	61	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	3	3	9	62	70	thousand	thousand	CARD	CD	I-NP	_	thou-sand	_	_	_	0	_	_	_	_
_	3	3	10	71	79	injuries	injury	NN	NNS	I-NP	_	in-juries	_	_	_	0	_	_	_	_
_	3	3	11	80	82	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	3	12	83	92	Fortunato	fortunato	NP	NNP	B-NP	_	For-tu-na-to	_	_	B-PERSON	0	_	_	_	_
_	3	3	13	93	94	I	i	PR	PRP	B-NP	_	I	_	_	_	0	_	_	_	_
_	3	3	14	95	98	had	have	V	VBD	B-VP	_	had	_	_	_	0	_	_	_	_
_	3	3	15	99	104	borne	bear	ADJ	JJ	B-ADJP	_	borne	_	_	_	0	_	_	_	_
_	3	3	16	105	107	as	as	PP	IN	B-SBAR	_	as	_	_	_	0	_	_	_	_
_	3	3	17	108	109	I	i	PR	PRP	B-NP	_	I	_	_	_	0	_	_	_	_
_	3	3	18	110	114	best	best	ADV	RBS	B-NP	_	best	_	_	_	0	_	_	_	_
_	3	3	19	115	120	could	could	V	MD	B-VP	_	could	_	_	_	0	_	_	_	_
_	3	3	20	120	121	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	3	21	122	125	but	but	CONJ	CC	_	_	but	_	_	_	0	_	_	_	_
_	3	3	22	127	131	when	when	ADV	WRB	B-ADVP	_	when	_	_	_	0	_	_	_	_
_	3	3	23	132	134	he	he	PR	PRP	B-NP	_	he	_	_	_	0	_	_	_	_
_	3	3	24	135	143	ventured	venture	V	VBD	B-VP	_	ven-tured	_	_	_	0	_	_	_	_
_	3	3	25	144	148	upon	upon	PP	IN	B-PP	_	up-on	_	_	_	0	_	_	_	_
_	3	3	26	149	155	insult	insult	NN	NN	B-NP	_	in-sult	_	_	_	0	_	_	_	_
_	3	3	27	155	156	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	3	28	157	158	I	i	PR	PRP	B-NP	_	I	_	_	_	0	_	_	_	_
_	3	3	29	159	164	vowed	vow	V	VBD	B-VP	_	vowed	_	_	_	0	_	_	_	_
_	3	3	30	165	172	revenge	revenge	NN	NN	B-NP	_	re-venge	_	_	_	0	_	_	_	_
_	3	3	31	172	173	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	4	32	175	178	You	you	PR	PRP	B-NP	_	You	_	_	_	0	_	_	_	_
_	3	4	33	178	179	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	34	180	183	who	who	PR	WP	B-NP	_	who	_	_	_	0	_	_	_	_
_	3	4	35	184	186	so	so	ADV	RB	B-ADVP	_	so	_	_	_	0	_	_	_	_
_	3	4	36	187	191	well	well	ADV	RB	I-ADVP	_	well	_	_	_	0	_	_	_	_
_	3	4	37	192	196	know	know	V	VBP	B-VP	_	know	_	_	_	0	_	_	_	_
_	3	4	38	198	201	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	4	39	202	208	nature	nature	NN	NN	I-NP	_	na-ture	_	_	_	0	_	_	_	_
_	3	4	40	209	211	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	4	41	212	214	my	my	PR	PRP$	B-NP	_	my	_	_	_	0	_	_	_	_
_	3	4	42	215	219	soul	soul	NN	NN	I-NP	_	soul	_	_	_	0	_	_	_	_
_	3	4	43	219	220	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	44	221	225	will	will	V	MD	B-VP	_	will	_	_	_	0	_	_	_	_
_	3	4	45	226	229	not	not	ADV	RB	I-VP	_	not	_	_	_	0	_	_	_	_
_	3	4	46	230	237	suppose	suppose	V	VB	I-VP	_	sup-pose	_	_	_	0	_	_	_	_
_	3	4	47	237	238	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	48	239	246	however	however	ADV	RB	B-ADVP	_	how-ev-er	_	_	_	0	_	_	_	_
_	3	4	49	246	247	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	50	248	252	that	that	PP	IN	B-SBAR	_	that	_	_	_	0	_	_	_	_
_	3	4	51	253	254	I	i	PR	PRP	B-NP	_	I	_	_	_	0	_	_	_	_
_	3	4	52	255	259	gave	give	V	VBD	B-VP	_	gave	_	_	_	0	_	_	_	_
_	3	4	53	260	269	utterance	utterance	NN	NN	B-NP	_	ut-ter-ance	_	_	_	0	_	_	_	_
