SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	3	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	0	0	1	4	10	Masque	masque	NP	NNP	I-NP	_	Masque	_	_	_	0	_	_	_	_
_	0	0	2	11	13	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	0	0	3	14	17	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	0	0	4	18	21	Red	red	NP	NNP	I-NP	_	Red	_	_	_	0	_	_	_	_
_	0	0	5	22	27	Death	death	NP	NNP	I-NP	_	Death	_	_	_	0	_	_	_	_
_	1	1	6	33	35	by	by	PP	IN	_	_	by	_	_	_	0	_	_	_	_
_	2	2	7	39	44	Edgar	edgar	NP	NNP	B-NP	_	Edgar	_	_	_	0	_	_	_	_
_	2	2	8	45	50	Allan	allan	NP	NNP	I-NP	_	Al-lan	_	_	_	0	_	_	_	_
_	2	2	9	51	54	Poe	poe	NP	NNP	I-NP	_	Poe	_	_	_	0	_	_	_	_
_	3	3	10	64	67	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	3	3	11	68	69	"	"	NP	NNP	I-NP	_	"	_	_	_	0	_	_	_	_
_	3	3	12	69	72	Red	red	NP	NNP	I-NP	_	Red	_	_	_	1	_	_	_	_
_	3	3	13	73	78	Death	death	NP	NNP	I-NP	_	Death	_	_	_	1	_	_	_	_
_	3	3	14	78	79	"	"	NP	NNP	I-NP	_	"	_	_	_	0	_	_	_	_
_	3	3	15	80	83	had	have	V	VBD	B-VP	_	had	_	_	_	0	_	_	_	_
_	3	3	16	84	88	long	long	ADV	RB	I-VP	_	long	_	_	_	0	_	_	_	_
_	3	3	17	89	99	devastated	devastate	V	VBN	I-VP	_	dev-as-tat-ed	_	_	_	0	_	_	_	_
_	3	3	18	100	103	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	3	19	104	111	country	country	NN	NN	I-NP	_	coun-try	_	_	_	0	_	_	_	_
_	3	3	20	111	112	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	4	21	114	116	No	no	ART	DT	B-NP	_	No	_	_	_	0	_	_	_	_
_	3	4	22	117	127	pestilence	pestilence	NN	NN	I-NP	_	pesti-lence	_	_	_	0	_	_	_	_
_	3	4	23	128	131	had	have	V	VBD	B-VP	_	had	_	_	_	0	_	_	_	_
_	3	4	24	133	137	ever	ever	ADV	RB	I-VP	_	ever	_	_	_	0	_	_	_	_
_	3	4	25	138	142	been	be	V	VBN	I-VP	_	been	_	_	_	0	_	_	_	_
_	3	4	26	143	145	so	so	ADV	RB	B-ADJP	_	so	_	_	_	0	_	_	_	_
_	3	4	27	146	151	fatal	fatal	ADJ	JJ	I-ADJP	_	fa-tal	_	_	_	0	_	_	_	_
_	3	4	28	151	152	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	4	29	153	155	or	or	CONJ	CC	_	_	or	_	_	_	0	_	_	_	_
_	3	4	30	156	158	so	so	ADV	RB	B-ADJP	_	so	_	_	_	0	_	_	_	_
_	3	4	31	159	166	hideous	hideous	ADJ	JJ	I-ADJP	_	hideous	_	_	_	0	_	_	_	_
_	3	4	32	166	167	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	5	33	169	174	Blood	blood	NP	NNP	B-NP	_	Blood	_	_	_	0	_	_	_	_
_	3	5	34	175	178	was	be	V	VBD	B-VP	_	was	_	_	_	0	_	_	_	_
_	3	5	35	179	182	its	its	PR	PRP$	B-NP	_	its	_	_	_	0	_	_	_	_
_	3	5	36	183	189	Avatar	avatar	NP	NNP	I-NP	_	Avatar	_	_	_	0	_	_	_	_
_	3	5	37	190	193	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	5	38	194	197	its	its	PR	PRP$	B-NP	_	its	_	_	_	0	_	_	_	_
_	3	5	39	199	208	seal--the	seal--the	ADJ	JJ	I-NP	_	seal-​-​the	_	_	_	0	_	_	_	_
_	3	5	40	209	216	redness	redness	NN	NN	I-NP	_	red-ness	_	_	_	0	_	_	_	_
_	3	5	41	217	220	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	5	42	221	224	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	5	43	225	231	horror	horror	NN	NN	I-NP	_	hor-ror	_	_	_	0	_	_	_	_
_	3	5	44	232	234	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	5	45	235	240	blood	blood	NN	NN	B-NP	_	blood	_	_	_	0	_	_	_	_
_	3	5	46	240	241	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	6	47	243	248	There	there	ART	EX	B-NP	_	There	_	_	_	0	_	_	_	_
_	3	6	48	249	253	were	be	V	VBD	B-VP	_	were	_	_	_	0	_	_	_	_
_	3	6	49	254	259	sharp	sharp	ADJ	JJ	B-NP	_	sharp	_	_	_	0	_	_	_	_
_	3	6	50	260	265	pains	pains	NN	NNS	I-NP	_	pains	_	_	_	0	_	_	_	_
_	3	6	51	265	266	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	6	52	267	270	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	6	53	272	278	sudden	sudden	ADJ	JJ	B-NP	_	sud-den	_	_	_	0	_	_	_	_
_	3	6	54	279	288	dizziness	dizziness	NN	NN	I-NP	_	dizzi-ness	_	_	_	0	_	_	_	_
_	3	6	55	288	289	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	6	56	290	293	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	6	57	294	298	then	then	ADV	RB	_	_	then	_	_	_	0	_	_	_	_
_	3	6	58	299	306	profuse	profuse	V	VB	B-VP	_	pro-fuse	_	_	_	0	_	_	_	_
_	3	6	59	307	315	bleeding	bleed	V	VBG	I-VP	_	bleed-ing	_	_	_	0	_	_	_	_
_	3	6	60	316	318	at	at	PP	IN	B-PP	_	at	_	_	_	0	_	_	_	_
_	3	6	61	319	322	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	6	62	323	328	pores	pore	NN	NNS	I-NP	_	pores	_	_	_	0	_	_	_	_
_	3	6	63	328	329	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	6	64	330	334	with	with	PP	IN	B-PP	_	with	_	_	_	0	_	_	_	_
_	3	6	65	336	347	dissolution	dissolution	NN	NN	B-NP	_	dis-so-lu-tion	_	_	_	0	_	_	_	_
_	3	6	66	347	348	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	7	67	350	353	The	the	ART	DT	B-NP	_	The	_	_	_	0	_	_	_	_
_	3	7	68	354	361	scarlet	scarlet	ADJ	JJ	I-NP	_	scar-let	_	_	_	0	_	_	_	_
_	3	7	69	362	368	stains	stain	NN	NNS	I-NP	_	stains	_	_	_	0	_	_	_	_
_	3	7	70	369	373	upon	upon	PP	IN	B-PP	_	up-on	_	_	_	0	_	_	_	_
_	3	7	71	374	377	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	72	378	382	body	body	NN	NN	I-NP	_	body	_	_	_	0	_	_	_	_
_	3	7	73	383	386	and	and	CONJ	CC	_	_	and	_	_	_	0	_	_	_	_
_	3	7	74	387	397	especially	especially	ADV	RB	B-ADVP	_	es-pe-cial-ly	_	_	_	0	_	_	_	_
_	3	7	75	398	402	upon	upon	PP	IN	B-PP	_	up-on	_	_	_	0	_	_	_	_
_	3	7	76	403	406	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	77	408	412	face	face	NN	NN	I-NP	_	face	_	_	_	0	_	_	_	_
_	3	7	78	413	415	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	7	79	416	419	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	80	420	426	victim	victim	NN	NN	I-NP	_	vic-tim	_	_	_	0	_	_	_	_
_	3	7	81	426	427	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	7	82	428	432	were	be	V	VBD	B-VP	_	were	_	_	_	0	_	_	_	_
_	3	7	83	433	436	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	84	437	441	pest	pest	ADJ	JJS	I-NP	_	pest	_	_	_	0	_	_	_	_
_	3	7	85	442	445	ban	ban	NN	NN	I-NP	_	ban	_	_	_	0	_	_	_	_
_	3	7	86	446	451	which	which	ART	WDT	B-NP	_	which	_	_	_	0	_	_	_	_
_	3	7	87	452	456	shut	shut	V	VBD	B-VP	_	shut	_	_	_	0	_	_	_	_
_	3	7	88	457	460	him	him	PR	PRP	B-NP	_	him	_	_	_	0	_	_	_	_
_	3	7	89	461	464	out	out	PP	RP	B-VP	_	out	_	_	_	0	_	_	_	_
_	3	7	90	465	469	from	from	PP	IN	B-PP	_	from	_	_	_	0	_	_	_	_
_	3	7	91	470	473	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	92	474	477	aid	aid	NN	NN	I-NP	_	aid	_	_	_	0	_	_	_	_
_	3	7	93	479	482	and	and	CONJ	CC	B-PP	_	and	_	_	_	0	_	_	_	_
_	3	7	94	483	487	from	from	PP	IN	B-PP	_	from	_	_	_	0	_	_	_	_
_	3	7	95	488	491	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	7	96	492	500	sympathy	sympathy	NN	NN	I-NP	_	sym-pa-thy	_	_	_	0	_	_	_	_
_	3	7	97	501	503	of	of	PP	IN	B-PP	_	of	_	_	_	0	_	_	_	_
_	3	7	98	504	507	his	his	PR	PRP$	B-NP	_	his	_	_	_	0	_	_	_	_
_	3	7	99	508	518	fellow-men	fellow-man	NN	NNS	I-NP	_	fel-low-​men	_	_	_	0	_	_	_	_
_	3	7	100	518	519	.	.	PUNC	.	_	_	.	_	_	_	0	_	_	_	_
_	3	8	101	520	523	And	and	CONJ	CC	_	_	And	_	_	_	0	_	_	_	_
_	3	8	102	524	527	the	the	ART	DT	B-NP	_	the	_	_	_	0	_	_	_	_
_	3	8	103	528	533	whole	whole	ADJ	JJ	I-NP	_	whole	_	_	_	0	_	_	_	_
_	3	8	104	534	541	seizure	seizure	NN	NN	I-NP	_	seizure	_	_	_	0	_	_	_	_
_	3	8	105	541	542	,	,	PUNC	,	_	_	,	_	_	_	0	_	_	_	_
_	3	8	106	544	552	progress	progress	NN	NN	B-NP	_	progress	_	_	_	0	_	_	_	_
_	3	8	107	553	556	and	and	CONJ	CC	I-NP	_	and	_	_	_	0	_	_	_	_
_	3	8	108	557	568	termination	termination	NN	NN	I-NP	_	ter-mi-na-tion	_	_	_	0	_	_	_	_
